Emotion,Angl,XSmall,XMediumMinus,XMedium,XMediumPlus,XLarge
Emo_1,A0,0.739277047383,0.840462478832,1.06833917563,1.29621587244,1.52883623699
Emo_1,A1,0.233094672529,0.239324217169,0.296225761014,0.353127304858,0.393715376962
Emo_1,A2,0.86522814911,0.902759434358,1.12044348297,1.33812753159,1.49383421297
Emo_1,A3,0.205837712835,0.239747229242,0.352208892088,0.464670554934,0.556717537622
Emo_1,A4,0.263818963928,0.375600291108,0.631356750514,0.88711320992,1.03037682652
Emo_1,A5,0.739277047383,0.871429514512,1.0998626305,1.32829574649,1.63244649743
Emo_2,A0,0.607801996114,0.711208861174,0.93694809762,1.16268733407,1.2924236591
Emo_2,A1,0.214041218559,0.221186910745,0.276758791034,0.332330671324,0.383660940781
Emo_2,A2,0.825376850521,0.928660063052,1.17689243476,1.42512480648,1.52033415278
Emo_2,A3,0.221794749708,0.262069116706,0.381743138545,0.501417160384,0.550435676036
Emo_2,A4,0.357771003826,0.427663631642,0.639273066088,0.850882500533,0.996008812936
Emo_2,A5,0.641419946345,0.74289707415,0.971539121773,1.2001811694,1.31549845607
Emo_3,A0,0.657510700054,0.68519343121,1.02865319055,1.37211294989,1.60953662446
Emo_3,A1,0.219959286658,0.245383773489,0.317282134664,0.389180495838,0.428979423791
Emo_3,A2,0.828849058789,0.857832372479,1.10268627756,1.34754018264,1.46013910562
Emo_3,A3,0.138047629649,0.162704882472,0.28932027249,0.415935662507,0.452724508195
Emo_3,A4,0.305298656791,0.287150321521,0.624203464133,0.961256606744,1.28082562563
Emo_3,A5,0.71947913942,0.714857911155,1.07425599257,1.43365407399,1.76464998882
Emo_4,A0,0.835356559119,0.865924741961,1.16537669778,1.4648286536,1.67192317657
Emo_4,A1,0.22283775966,0.228309445735,0.289836720185,0.351363994635,0.381678709518
Emo_4,A2,0.792454497892,0.819027224351,1.06750356375,1.31597990315,1.47584462045
Emo_4,A3,0.134321441953,0.17674531705,0.305000458178,0.433255599307,0.486834027177
Emo_4,A4,0.389227593288,0.464269355274,0.791845169636,1.119420984,1.34532042373
Emo_4,A5,0.877981209205,0.908504973803,1.20252304514,1.49654111648,1.67192317657
Emo_5,A0,0.663309026,0.696413412281,1.03349425825,1.37057510421,1.60109008671
Emo_5,A1,0.222805275253,0.246654042468,0.317103980913,0.387553919358,0.463519846129
Emo_5,A2,0.941800093701,0.969973193821,1.23807164802,1.50617010221,1.70550664681
Emo_5,A3,0.13890006058,0.165623378592,0.287034968164,0.408446557735,0.489816130681
Emo_5,A4,0.126496318897,0.25285469489,0.568250576178,0.883646457467,1.18392060906
Emo_5,A5,0.671755381348,0.731951264533,1.07253242808,1.41311359162,1.60109008671
Emo_6,A0,0.872919842862,1.15321432914,1.57949809558,2.00578186201,2.12213059093
Emo_6,A1,0.186446937954,0.18955293026,0.248463747604,0.307374564947,0.348864689973
Emo_6,A2,0.747788637329,0.776204548834,1.00410376019,1.23200297154,1.52491019159
Emo_6,A3,0.184319382107,0.231923918975,0.344096918445,0.456269917915,0.528433772881
Emo_6,A4,0.494109097868,0.743520705972,1.23648801807,1.72945533017,1.85042621448
Emo_6,A5,0.87868489372,1.19727371436,1.60966877917,2.02206384397,2.12213059093
Emo_7,A0,0.672670551807,0.732931359095,1.04121792948,1.34950449987,1.42889927219
Emo_7,A1,0.235633140819,0.246050548771,0.320596339561,0.395142130352,0.438433655316
Emo_7,A2,0.785935508859,0.945031271656,1.22337880321,1.50172633476,1.69276848232
Emo_7,A3,0.167810875431,0.184292819605,0.339958286556,0.495623753508,0.535576560451
Emo_7,A4,0.192424972679,0.35528256382,0.664703554511,0.974124545203,1.20092431117
Emo_7,A5,0.674740942224,0.76300563724,1.08396789515,1.40493015305,1.56912827163
Emo_8,A0,0.641235251644,0.792056916934,1.09531193408,1.39856695123,1.47346178144
Emo_8,A1,0.194155916534,0.201406342026,0.256713567351,0.312020792675,0.33591391321
Emo_8,A2,0.764992832711,0.802754276975,1.03366872771,1.26458317845,1.34362233808
Emo_8,A3,0.210556660645,0.263766284376,0.373344643586,0.482923002796,0.544150187689
Emo_8,A4,0.432363767297,0.487104357599,0.782558493546,1.07801262949,1.16082712027
Emo_8,A5,0.692951431594,0.827846011733,1.127690458,1.42753490427,1.52697622861
Emo_9,A0,0.613460065574,0.730387610981,0.989317938943,1.24824826691,1.39357094185
Emo_9,A1,0.213363693641,0.223777400632,0.285566764139,0.347356127645,0.393097356909
