A0,A1,A2,A3,A4,"A5,",Emotion,Angl,ValAng,FuzzValue,FuzzStr,rule
A0,A1,A2,A3,A4,"A5,",Emotion,Angl,,,,
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_3,A3,0.3587706703,0.4250220166,L,0.0002217963
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_3,A4,0.8678320151,0.3710330921,L,8.22937824956E-05
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_3,A5,1.2976837276,0.3236235197,L,2.66322035393E-05
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_4,A0,1.2976837276,0.11633885,M,3.09835993275E-06
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_4,A1,0.28481911,0.8368980175,M,0.000002593
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_4,A2,1.1720313785,0.1586497531,M,4.11380600071E-07
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_4,A3,0.3587706703,0.1615117863,M,6.64428155627E-08
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_4,A4,0.8678320151,0.536065594,M,3.56177073896E-08
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_4,A5,1.2976837276,0.352688207,M,1.25619453572E-08
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_5,A0,1.2976837276,0.4654535078,L,5.84700153097E-09
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_5,A1,0.28481911,0.342368124,S,0.000000002
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_5,A2,1.1720313785,0.5073431534,M,0.000000001
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_5,A3,0.3587706703,0.3537592014,L,3.59282512707E-10
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_5,A4,0.8678320151,0.4865941542,L,1.74824770375E-10
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_5,A5,1.2976837276,0.4259730151,L,7.44706345585E-11
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_6,A0,1.2976837276,0.3988438179,S,2.97021522105E-11
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_6,A1,0.28481911,0.362101804,L,1.07552028994E-11
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_6,A2,1.1720313785,0.3224376816,L,3.46788268829E-12
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_6,A3,0.3587706703,0.7383728367,M,2.56059037786E-12
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_6,A4,0.8678320151,0.4965873801,S,1.27155686717E-12
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_6,A5,1.2976837276,0.4268015448,S,5.42702435264E-13
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_7,A0,1.2976837276,0.6615376338,L,3.59018084882E-13
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_7,A1,0.28481911,0.4210908973,S,1.51179247517E-13
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_7,A2,1.1720313785,0.6310552897,M,9.54024638312E-14
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_7,A3,0.3587706703,0.7582972758,M,7.2343428426E-14
1.2976837276,0.28481911,1.1720313785,0.3587706703,0.8678320151,1.2976837276,Emo_7,A4,0.8678320151,0.37881499,L,2.74047751139E-14
