Emotion,Angl,ValAng,FuzzValue,FuzzStr
Emo_1,A0,1.18608043292,0.483311549897,M
Emo_1,A1,0.258761369182,2.46025822163,S
Emo_1,A2,0.898190504096,0.51707157077,S
Emo_1,A3,0.396239344611,2.04247092973,S
Emo_1,A4,0.662366794815,1.23372562798,S
Emo_1,A5,1.18608043292,0.483311549897,M
Emo_1,A0,1.18608043292,1,
Emo_1,A1,0.258761369182,0.593438078307,S
Emo_1,A2,0.898190504096,1,
Emo_1,A3,0.396239344611,1,
Emo_1,A4,0.662366794815,1,
Emo_1,A5,1.18608043292,1,
Emo_1,A0,1.18608043292,0.69847606949,M
Emo_1,A1,0.258761369182,3.37629444421,S
Emo_1,A2,0.898190504096,0.870844927349,S
Emo_1,A3,0.396239344611,2.83762001055,S
Emo_1,A4,0.662366794815,1.79486350301,S
Emo_1,A5,1.18608043292,0.69847606949,M
Emo_1,A0,1.18608043292,1,
Emo_1,A1,0.258761369182,0.638428435044,S
Emo_1,A2,0.898190504096,1,
Emo_1,A3,0.396239344611,0.608484781318,M
Emo_1,A4,0.662366794815,1,
Emo_1,A5,1.18608043292,1,
Emo_1,A0,1.18608043292,1,
Emo_1,A1,0.258761369182,1.01376074769,S
Emo_1,A2,0.898190504096,0.668722627326,L
Emo_1,A3,0.396239344611,0.63970947882,S
Emo_1,A4,0.662366794815,0.878751667219,M
Emo_1,A5,1.18608043292,1,
Emo_1,A0,1.18608043292,0.622568724129,M
Emo_1,A1,0.258761369182,2.3325981423,S
Emo_1,A2,0.898190504096,0.559290597978,S
Emo_1,A3,0.396239344611,1.95133504731,S
Emo_1,A4,0.662366794815,1.21329264443,S
Emo_1,A5,1.18608043292,0.622568724129,M
Emo_2,A0,1.18608043292,0.700842370885,L
Emo_2,A1,0.258761369182,2.06044284084,S
Emo_2,A2,0.898190504096,0.828308121646,M
Emo_2,A3,0.396239344611,1.64276213674,S
Emo_2,A4,0.662366794815,0.834223165788,S
Emo_2,A5,1.18608043292,0.700842370885,L
Emo_2,A0,1.18608043292,1,
Emo_2,A1,0.258761369182,0.67614157091,M
Emo_2,A2,0.898190504096,1,
Emo_2,A3,0.396239344611,1,
Emo_2,A4,0.662366794815,1,
Emo_2,A5,1.18608043292,1,
Emo_2,A0,1.18608043292,0.962986301522,M
Emo_2,A1,0.258761369182,2.61192136777,S
Emo_2,A2,0.898190504096,0.792857964653,S
Emo_2,A3,0.396239344611,2.22082071223,S
Emo_2,A4,0.662366794815,1.46373493243,S
Emo_2,A5,1.18608043292,0.962986301522,M
Emo_2,A0,1.18608043292,1,
Emo_2,A1,0.258761369182,0.768884077278,S
Emo_2,A2,0.898190504096,1,
Emo_2,A3,0.396239344611,0.878869232915,M
Emo_2,A4,0.662366794815,1,
Emo_2,A5,1.18608043292,1,
Emo_2,A0,1.18608043292,1,
Emo_2,A1,0.258761369182,1.35171903839,S
Emo_2,A2,0.898190504096,0.725796167881,L
Emo_2,A3,0.396239344611,0.863346149313,S
Emo_2,A4,0.662366794815,0.890866261292,M
Emo_2,A5,1.18608043292,1,
Emo_2,A0,1.18608043292,0.0616716681252,M
Emo_2,A1,0.258761369182,2.15915283221,S
Emo_2,A2,0.898190504096,0.67919891184,M
Emo_2,A3,0.396239344611,1.74270330227,S
Emo_2,A4,0.662366794815,0.936547616651,S
Emo_2,A5,1.18608043292,0.0616716681252,M
Emo_3,A0,1.18608043292,0.54164283271,M
Emo_3,A1,0.258761369182,2.07438340013,S
Emo_3,A2,0.898190504096,0.620151464893,M
Emo_3,A3,0.396239344611,1.70396508655,S
Emo_3,A4,0.662366794815,0.986915821052,S
Emo_3,A5,1.18608043292,0.54164283271,M
Emo_3,A0,1.18608043292,1,
Emo_3,A1,0.258761369182,0.601305517471,S
Emo_3,A2,0.898190504096,1,
Emo_3,A3,0.396239344611,0.70688564211,L
Emo_3,A4,0.662366794815,1,
Emo_3,A5,1.18608043292,1,
Emo_3,A0,1.18608043292,0.659412598169,M
Emo_3,A1,0.258761369182,3.08184881575,S
Emo_3,A2,0.898190504096,0.746778594894,S
Emo_3,A3,0.396239344611,2.57980612029,S
Emo_3,A4,0.662366794815,1.60796068818,S
Emo_3,A5,1.18608043292,0.659412598169,M
Emo_3,A0,1.18608043292,1,
Emo_3,A1,0.258761369182,0.758647797052,M
Emo_3,A2,0.898190504096,1,
Emo_3,A3,0.396239344611,0.155560219763,M
Emo_3,A4,0.662366794815,1,
Emo_3,A5,1.18608043292,1,
Emo_3,A0,1.18608043292,0.855708201358,L
Emo_3,A1,0.258761369182,1.14592846059,S
Emo_3,A2,0.898190504096,0.18711026445,M
Emo_3,A3,0.396239344611,0.714834377765,S
Emo_3,A4,0.662366794815,0.886773550348,M
Emo_3,A5,1.18608043292,0.855708201358,L
Emo_3,A0,1.18608043292,0.688856323586,M
Emo_3,A1,0.258761369182,2.2986128214,S
Emo_3,A2,0.898190504096,0.510110104705,M
Emo_3,A3,0.396239344611,1.91110733956,S
Emo_3,A4,0.662366794815,1.16098103385,S
Emo_3,A5,1.18608043292,0.688856323586,M
Emo_4,A0,1.18608043292,0.930861245896,M
Emo_4,A1,0.258761369182,2.74715152923,S
Emo_4,A2,0.898190504096,0.809605725177,S
Emo_4,A3,0.396239344611,2.33057702566,S
Emo_4,A4,0.662366794815,1.52417941828,S
Emo_4,A5,1.18608043292,0.930861245896,M
Emo_4,A0,1.18608043292,1,
Emo_4,A1,0.258761369182,0.49493373011,M
Emo_4,A2,0.898190504096,1,
Emo_4,A3,0.396239344611,1,
Emo_4,A4,0.662366794815,1,
Emo_4,A5,1.18608043292,1,
Emo_4,A0,1.18608043292,0.522784062838,M
Emo_4,A1,0.258761369182,2.94035608536,S
Emo_4,A2,0.898190504096,0.615574021767,S
Emo_4,A3,0.396239344611,2.44052535516,S
Emo_4,A4,0.662366794815,1.47296180655,S
